Sample_ID,District,Agro_Zone,Season,Soil_pH,Total_N_percent,Available_P_mgkg,Available_K_mgkg,Organic_Carbon_percent,Rainfall_30d_mm,Temperature_mean_C,Recommended_N_kg_ha,Recommended_P2O5_kg_ha,Recommended_K2O_kg_ha,Urea_kg_ha,TSP_kg_ha,MOP_kg_ha
14,Puttalam,Dry,Yala,7.49,0.11,12.6,87.5,0.86,32.1,30.5,120,40,40,249.6,84.8,64.9
15,Kilinochchi,Dry,Yala,5.98,0.098,10.1,93.3,0.84,30.5,27.5,130,40,40,269.1,87,65.1
16,Kilinochchi,Dry,Maha,6.82,0.103,10.5,108.4,1.35,177,28.9,120,40,20,248.5,80.7,35.3
17,Mullaitivu,Dry,Yala,,0.05,8.4,84.2,1.33,61.7,29.9,130,60,40,274.3,120.8,69.1
18,Anuradhapura,Dry,Yala,7.48,0.198,7.1,63.4,1.41,92.2,29.6,100,60,40,218.2,125.3,71.4
19,Polonnaruwa,Dry,Yala,6.02,,13.1,71.5,1.06,32.9,30.7,120,40,40,258.2,81.8,67.7
20,Mannar,Dry,Maha,7.23,0.132,5.8,74.3,1.48,201.1,28,120,60,40,252.7,125.7,64.1
21,Kalutara,Wet,Maha,4.64,0.161,11.5,111.2,1.95,350.7,25.8,100,40,20,221,82.8,32.4
22,Trincomalee,Dry,Maha,5.6,0.096,13.4,53.3,1.21,171.6,30.9,130,40,60,267.3,80.8,97.3
23,Kilinochchi,Dry,Maha,6.83,0.116,11.6,111,0.61,199.3,30.5,120,40,20,252.8,92.3,32.4
24,Puttalam,Dry,Maha,7.03,0.189,5.8,86.6,1.07,180.7,31.1,100,60,40,213,120.8,68.4
25,Anuradhapura,Dry,Yala,7,0.186,12.5,46.3,,85.7,31.3,100,40,60,216,90.1,100.5
26,Kalutara,Wet,Yala,4.69,0.068,6,95.9,1.62,312.4,25.7,130,60,40,294.7,123.6,65.6
27,Badulla,Intermediate,Yala,5.52,0.19,12,114.6,1.81,182.7,26,100,40,20,207.6,92.4,31.5
28,Puttalam,Dry,Yala,6.66,0.145,12.2,70.3,0.71,22.3,30.3,120,40,40,261.5,92.1,61.9
29,Ampara,Dry,Maha,5.56,0.148,9.7,49.7,1.24,132,29.7,120,60,60,264.5,133.4,95.8
30,Hambantota,Dry,Maha,7.49,0.057,10.7,48.2,1.27,239,30.5,130,40,60,263.4,89.2,94.1
31,Mullaitivu,Dry,Maha,7.08,0.077,9.3,103.1,1.02,206.6,,130,60,20,287.2,120.7,34.7
32,Gampaha,Wet,Maha,4.98,0.188,6.3,97.6,2.77,247.3,28,100,60,40,206.7,139.9,62.8
33,Kandy,Wet,Maha,5.88,0.086,8.2,105.2,1.64,209.5,25.3,130,60,20,264.2,137.8,34.4
34,Anuradhapura,Dry,Yala,5.69,0.197,13.1,111.6,0.74,44.2,27.2,100,40,20,232,92.2,32.7
35,Kandy,Wet,Yala,5.31,0.065,5,103.6,2.44,,28,130,60,20,302.3,133.5,31.2
36,Matale,Intermediate,Yala,5.94,0.117,10.1,113.9,1.96,131.2,29.2,120,40,20,273,85,34.9
37,Batticaloa,Dry,Yala,6.93,0.054,,117.4,0.91,89.2,30.3,130,60,20,274.3,138.1,33.7
38,Nuwara Eliya,Wet,Maha,4.9,0.082,5.5,149.4,2.25,274.9,24.9,130,60,20,265.5,126.3,32
39,Kilinochchi,Dry,Maha,,0.051,8,90.8,0.73,185.2,28.4,130,60,40,290.4,131.6,70.6
40,Batticaloa,Dry,Yala,,0.054,6.6,87.8,1.03,70.6,28.5,130,60,40,280.1,122.6,62.2
41,Mannar,Dry,Yala,7.28,0.196,6.3,102.2,0.52,76.9,27.2,100,60,20,205.1,138.7,31.8
42,Anuradhapura,Dry,Yala,7.24,0.189,14.6,74.4,1.21,48.5,31.4,100,40,40,217.2,82.3,69.2
43,Polonnaruwa,Dry,Yala,5.8,0.052,,107.7,,67.7,27.6,130,40,20,262.9,83.4,34.3
44,Badulla,Intermediate,Yala,6.35,0.131,6.3,68,1.01,154.5,29.5,120,60,40,276.9,131.5,64.6
45,Kandy,Wet,Yala,5.35,0.118,9,119.5,1.84,283.7,25.2,120,60,20,251.5,135.6,31.1
46,Badulla,Intermediate,Maha,6.69,0.122,19.2,94.5,1.59,100.5,28,120,20,40,267.3,44.3,70.3
47,Gampaha,Wet,Yala,5.89,0.054,5.4,96.6,1.8,371.4,,130,60,40,274.6,125.2,64.8
48,Gampaha,Wet,Yala,5.88,0.102,11.3,114.7,2.52,267.1,27.2,120,40,20,261.7,80.5,31.8
49,Jaffna,Dry,Maha,6.28,0.102,8.7,59.4,1.25,283.4,31.7,120,60,60,262.7,135.4,100.2
50,Mannar,Dry,Yala,6.77,0.173,7.1,66.9,0.77,90.6,28.6,100,60,40,207.1,139.9,70.8
51,Matale,Intermediate,Yala,6.34,0.072,11.3,69.6,1.96,145.2,26.5,130,40,40,302.5,91,62.1
52,Ratnapura,Wet,Maha,4.64,0.082,7.5,110.8,2.4,335.4,24.8,130,60,20,294.3,129.6,34.6
53,Hambantota,Dry,Maha,6.06,0.187,10.6,66.8,,244.9,29.7,100,40,40,231.7,92.3,67.4
54,Jaffna,Dry,Yala,6.66,0.12,12.5,102.2,0.73,85.6,28,120,40,20,276.4,85.8,32.9
55,Matale,Intermediate,Maha,,0.153,10,126.3,1.24,215.9,28.6,100,40,20,220.6,87.3,34.5
56,Vavuniya,Dry,Yala,5.91,0.102,13.1,94,0.97,27,27,120,40,40,277.4,86.7,71.4
57,Monaragala,Intermediate,Maha,6.71,0.083,9.1,78.8,1.49,,26.8,130,60,40,265.2,129.4,64
58,Puttalam,Dry,Maha,7.19,0.057,7.8,114.6,0.96,283.7,28.6,130,60,20,269.7,135.8,31.5
59,Kilinochchi,Dry,Yala,6.91,0.192,9.4,42.9,0.98,46.6,27.2,100,60,60,202.6,130.9,106.2
60,Matale,Intermediate,Maha,6.19,0.18,14.2,66.5,1.37,154.3,,100,40,40,211.7,84.6,68.4
61,Kilinochchi,Dry,Yala,6.52,0.198,14.5,105.3,0.8,97.8,28.6,100,40,20,213.8,83.8,33
62,Trincomalee,Dry,Maha,6.32,0.091,9.1,60.6,1.16,167.4,27.4,130,60,40,272.9,121.4,67.4
63,Hambantota,Dry,Maha,6.3,,14.5,48.2,0.68,199.5,30.1,120,40,60,273.8,88.1,103.7
64,Badulla,Intermediate,Yala,5.8,0.092,9.2,51.6,1.87,229.7,29.7,130,60,60,276.5,125.1,104.1
65,Kegalle,Intermediate,Yala,6.04,0.191,6.4,117,1.11,199.3,27.6,100,60,20,210.3,123.5,35.4
66,Ratnapura,Wet,Yala,,0.106,5.2,123.8,1.52,293.5,27.7,120,60,20,262.6,133.4,32.9
67,Gampaha,Wet,Maha,5.31,0.075,9.6,81,2.79,226.9,27.1,130,60,40,267.4,133.9,64.6
68,Anuradhapura,Dry,Maha,6.73,0.056,12,68,0.74,,28.4,130,40,40,295.4,90.3,68.1
69,Trincomalee,Dry,Maha,6.79,0.16,12.6,58.4,0.54,,27.4,100,40,60,203.5,87,98.7
70,Monaragala,Intermediate,Yala,6.28,0.07,9.4,86.1,1.05,221.6,27.1,130,60,40,303.2,138.1,67.6
71,Matara,Wet,Maha,5.42,0.182,11.3,80,2.98,396.1,24,100,40,40,226.3,92.7,65.9
72,Badulla,Intermediate,Yala,6.67,0.069,16.2,67,1.42,227.7,27.6,130,20,40,269.8,45.5,63.2
73,Jaffna,Dry,Maha,7.29,0.171,9.3,64.5,1,213.2,31.6,100,60,40,201.3,133.1,66.4
74,Matara,Wet,Yala,5.79,0.19,,90.6,2.88,288.3,,100,60,40,227.7,126.6,68.6
75,Anuradhapura,Dry,Maha,6.3,0.083,11.2,72.4,0.98,137.8,32,130,40,40,291.4,93.3,69.7
76,Colombo,Wet,Maha,4.98,0.197,7,130.1,1.72,206.8,26.1,100,60,20,224.9,126,33.3
77,Anuradhapura,Dry,Maha,6.73,0.159,11.6,70.3,0.56,221.5,27.7,100,40,40,226.2,83.1,63.4
78,Jaffna,Dry,Maha,6.84,0.17,10.2,83,0.75,184.8,30.6,100,40,40,203.5,86.2,65.8
79,Kegalle,Intermediate,Yala,6.2,0.127,13.2,119,1.04,126.4,28.3,120,40,20,255.4,81.2,34.7
80,Badulla,Intermediate,Yala,6.41,0.087,17.3,63.4,1.11,157.9,28.1,130,20,40,266.3,46.6,65.8
81,Matara,Wet,Maha,5.47,0.055,10.3,107.4,1.56,,27.5,130,40,20,298,88.2,34.3
82,Nuwara Eliya,Wet,Maha,4.72,0.195,8.4,99.8,2.69,256.9,25.3,100,60,40,221.4,131.5,66.8
83,Puttalam,Dry,Yala,6.37,0.155,11.5,108.7,1.38,96.5,31.3,100,40,20,211.9,89,32
84,Mannar,Dry,Yala,7.11,0.127,11.1,97.4,1.23,23.3,30.6,120,40,40,243.8,87,69.7
85,Hambantota,Dry,Yala,7.09,0.129,9.7,74.8,0.74,29.7,29,120,60,40,253.5,121.2,62.5
86,Batticaloa,Dry,Yala,6.39,0.156,10.5,42.2,1.16,76.1,27.2,100,40,60,211.7,88.5,100.4
87,Ratnapura,Wet,Yala,5.94,0.107,8.3,116.3,,,25.8,120,60,20,269.9,134.6,31.8
88,Vavuniya,Dry,Yala,5.71,,6.9,78,1.17,,31.8,130,60,40,288.4,128.8,62.4
89,Kegalle,Intermediate,Yala,5.68,0.131,18.6,63,1.94,212.6,29.9,120,20,40,276.1,45.2,66.7
90,Trincomalee,Dry,Yala,7.36,0.077,8.9,92.5,1.38,46.2,30.2,130,60,40,281.4,125.1,66.7
91,Vavuniya,Dry,Maha,6.43,0.1,8.6,116.3,0.76,243.3,,120,60,20,246,124.9,34.3
92,Colombo,Wet,Yala,5.99,0.143,6.4,68.8,2.49,389,27.8,120,60,40,269.2,123.8,69.1
93,Puttalam,Dry,Yala,5.53,0.091,13,110,0.73,49.2,29.3,130,40,20,293.7,85.3,34.4
94,Matale,Intermediate,Yala,5.39,0.148,19.3,114.7,1.12,131.1,26.7,120,20,20,263.3,45.8,32.8
95,Puttalam,Dry,Yala,7.03,0.138,6.6,,1.31,67.2,28.1,120,60,20,271.5,136.8,34
96,Jaffna,Dry,Maha,7.43,0.05,10.8,81.5,1.16,139.1,30.8,130,40,40,282.3,85.5,67.5
97,Gampaha,Wet,Maha,5.93,0.166,7.3,93.1,2.25,,27.2,100,60,40,218.1,132.1,65.9
98,Vavuniya,Dry,Maha,,,5.8,78.5,1.34,167.6,29.3,100,60,40,215,134.7,67.7
99,Hambantota,Dry,Yala,7.31,0.101,6,56.5,0.94,,28.4,120,60,60,242.3,125.3,106.7
100,Ampara,Dry,Maha,7.05,0.177,13.7,,0.98,230.1,28.1,100,40,20,204.6,82.7,31.8
101,Ratnapura,Wet,Maha,5.92,0.16,10.1,61.4,1.94,212.8,27.5,100,40,40,202.1,93.2,70.8
102,Galle,Wet,Yala,5.99,0.076,6.5,113.5,2.25,,26.5,130,60,20,288.4,132.7,31.1
103,Polonnaruwa,Dry,Maha,7.3,0.133,5.4,94.7,1.12,124.9,28,120,60,40,253.6,139.8,64.8
104,Hambantota,Dry,Yala,7.13,0.196,,93,1.36,43.6,30.6,100,60,40,217.7,127.2,64.6
105,Kurunegala,Intermediate,Maha,5.65,0.135,12.8,105.5,1.07,150.8,27,120,40,20,276.9,89.6,33.9
106,Vavuniya,Dry,Maha,7.27,0.143,7.1,,1.25,258.4,29.6,120,60,40,251.1,125,63
107,Matara,Wet,Maha,,0.187,10.3,108.3,2.4,389.4,27.6,100,40,20,214.5,83.9,35.2
108,Hambantota,Dry,Yala,7.01,0.163,8.9,62.4,,45.9,30.3,100,60,40,225.7,130.6,70
109,Kandy,Wet,Yala,4.67,0.133,9.1,135.2,2.66,325,25.7,120,60,20,250.3,126.9,34.1
110,Kandy,Wet,Maha,5.96,0.148,8.8,75.7,2.63,241.2,27.6,120,60,40,244.3,123.9,66.3
111,Mannar,Dry,Yala,,0.09,7.3,108.1,0.72,48.1,31.1,130,60,20,273.7,125.8,35.5
112,Matale,Intermediate,Maha,5.4,0.058,17.5,122,,117.2,28.1,130,20,20,268.2,40.5,35
113,Ampara,Dry,Maha,6.16,0.087,14.5,107.3,1.42,195.6,27.8,130,40,20,300.8,89.7,33.3
114,Puttalam,Dry,Maha,5.91,0.102,9.9,66,1.18,218.1,27.5,120,60,40,273,130.2,68.7
115,Kilinochchi,Dry,Maha,6.28,0.188,8.9,84.5,0.81,272.6,,100,60,40,221.8,122.5,67.4
116,Galle,Wet,Yala,5.33,0.115,11.9,94.5,1.9,338,26.8,120,40,40,275.4,82.7,67.6
117,Polonnaruwa,Dry,Yala,5.9,0.174,5.6,,1.47,43.5,28.1,100,60,40,227.3,122.6,65
118,Puttalam,Dry,Maha,6.23,0.151,7,108.8,0.58,168.2,31.9,100,60,20,207.2,132.6,33.1
119,Vavuniya,Dry,Maha,5.66,,9.2,113.5,1.22,289.5,28.6,120,60,20,276.3,122.5,31.2
120,Polonnaruwa,Dry,Maha,6.2,0.124,7.5,58.4,1.15,292.8,28,120,60,60,262.4,135.4,97.9
121,Batticaloa,Dry,Maha,7,0.086,10.9,86.7,,240.3,,130,40,40,295.6,80.7,68.7
122,Ratnapura,Wet,Yala,4.52,0.063,8.2,95.4,1.83,357.1,27.2,130,60,40,299.4,125.5,71.2
123,Matale,Intermediate,Maha,6.72,0.151,13.9,82.4,,230.7,28.6,100,40,40,211.5,92.1,71.3
124,Puttalam,Dry,Yala,7.44,0.065,13.2,43.6,1.2,72.4,30.4,130,40,60,266.1,89.9,100.8
125,Trincomalee,Dry,Maha,7.18,0.053,6,87.6,1.11,162,29.4,130,60,40,271.1,122,67.8
126,Matara,Wet,Yala,5.05,0.158,7.3,87.7,2.43,351.7,27,100,60,40,215,136.7,63.6
127,Nuwara Eliya,Wet,Yala,4.65,0.114,8.9,127,2.27,273.8,27.6,120,60,20,273.3,130.3,34.3
128,Monaragala,Intermediate,Yala,6.37,0.062,13.4,,1.66,127.6,26.8,130,40,40,297.9,91.5,62.4
129,Mannar,Dry,Maha,5.66,0.09,8.8,44.9,1.35,160.2,31.5,130,60,60,261.7,132.4,96.8
130,Ratnapura,Wet,Maha,4.79,0.179,5.8,125,2.95,333.6,27.7,100,60,20,217.8,134,34.1
131,Matara,Wet,Yala,4.86,0.184,9.9,101.2,2.51,338.9,27.5,100,60,20,214.7,140.1,32.4
132,Trincomalee,Dry,Maha,,0.113,10,76.3,1.02,216.3,27.1,120,40,40,250,83.5,62.2
133,Kalutara,Wet,Maha,4.74,0.107,8.1,63.6,1.68,275.6,27.9,120,60,40,246,132.8,70
134,Gampaha,Wet,Yala,4.58,0.119,5.1,62.7,2.14,364.2,25.4,120,60,40,254.5,129.6,64.8
135,Jaffna,Dry,Yala,5.53,0.103,12.4,99.1,0.66,48.1,30.8,120,40,40,278.2,81,62.3
136,Nuwara Eliya,Wet,Maha,5.7,0.067,10.1,112.3,2.1,216,25.5,130,40,20,275.1,80.7,31.2
137,Polonnaruwa,Dry,Maha,7.28,0.101,14.9,69.1,0.95,183.1,28.2,120,40,40,261.6,82,64.2
138,Colombo,Wet,Yala,5.46,0.117,10.3,97.5,1.52,296.2,25.7,120,40,40,268.8,88.9,63.5
139,Vavuniya,Dry,Maha,6.49,,9.5,72.4,0.85,232.2,29.6,130,60,40,276.8,131.7,69.4
140,Kalutara,Wet,Yala,5.26,0.174,5.1,,2.39,280.9,,100,60,20,232.8,131.4,32.4
141,Kegalle,Intermediate,Yala,5.72,0.081,5.4,74.7,1.48,147.3,28.6,130,60,40,302.2,121.2,69.7
142,Polonnaruwa,Dry,Maha,6.08,0.072,5.9,77.1,1.45,217,27.3,130,60,40,272.1,129.8,63.4
143,Polonnaruwa,Dry,Maha,6.77,0.062,11.9,67.8,0.76,173.1,27,130,40,40,282.5,92.5,66.6
144,Ratnapura,Wet,Yala,5.24,0.123,9.5,105,1.93,263.7,24.1,120,60,20,253.1,128.4,34.2
145,Polonnaruwa,Dry,Maha,6.64,0.06,11.5,,0.6,,,130,40,40,273.5,88.6,68.2
146,Trincomalee,Dry,Yala,7.36,0.179,9.8,40.9,1.21,71.7,29,100,60,60,202.3,135.9,101.5
147,Polonnaruwa,Dry,Yala,6.74,0.116,9.5,109.9,0.9,25.2,,120,60,20,265.2,136,35.4
148,Monaragala,Intermediate,Maha,6.8,0.136,7.9,53.6,1.38,148.6,26.7,120,60,60,261,130.8,95.9
149,Gampaha,Wet,Maha,5.5,0.152,11.6,81.2,1.56,306.2,24.6,100,40,40,202.8,91.7,66.6
150,Ratnapura,Wet,Yala,4.96,0.073,,141.2,2.5,214.2,,130,60,20,273.2,128.3,35.2
151,Anuradhapura,Dry,Maha,6.9,0.081,,68.5,0.5,128,30.7,130,40,40,299.9,92.1,62.5
152,Kilinochchi,Dry,Yala,5.64,,8.8,79.3,0.68,70.2,31.6,100,60,40,208.9,125.3,62.3
153,Galle,Wet,Yala,4.62,0.063,11.9,110.4,1.93,206.5,27.2,130,40,20,267.5,84.1,32
154,Colombo,Wet,Maha,4.66,0.088,11.5,82.8,1.52,347.6,28,130,40,40,282.2,81.2,68
155,Kilinochchi,Dry,Maha,7.48,0.138,,54.8,1.37,134.1,30.4,120,60,60,279.9,136.2,96.4
156,Vavuniya,Dry,Maha,5.63,0.116,14.5,79.9,0.72,168.5,29.9,120,40,40,250.8,85.9,63.6
157,Matara,Wet,Maha,4.7,0.128,5.4,64.3,2.27,211,26.7,120,60,40,267.6,125.1,66.3
158,Colombo,Wet,Yala,4.9,0.069,9,86.7,1.78,227.8,25.8,130,60,40,293.7,125.2,67.8
159,Badulla,Intermediate,Maha,5.37,0.075,13.3,110.5,1.07,243.7,29.2,130,40,20,271.5,92.2,32
160,Trincomalee,Dry,Maha,5.77,0.109,,101.4,0.97,148.2,29.8,120,40,20,269.8,91.4,32.3
161,Mullaitivu,Dry,Maha,,0.075,5.4,86.7,0.87,248.7,30.6,130,60,40,277,131.4,67.8
162,Monaragala,Intermediate,Maha,5.74,0.157,11.3,59.1,1.41,176,,100,40,60,221.7,88.5,106.7
163,Nuwara Eliya,Wet,Maha,5.35,0.151,11.5,113.8,,373.5,27.9,100,40,20,221.8,86.7,34.2
164,Badulla,Intermediate,Yala,6.64,0.17,8.3,105.3,1.99,102.6,29.7,100,60,20,218.6,128.3,34.7
165,Gampaha,Wet,Maha,4.63,0.071,9.3,74.6,2.87,365.6,24.2,130,60,40,265.2,138.5,65.4
166,Matara,Wet,Maha,5.91,0.178,10.9,98.1,1.64,353.7,27.5,100,40,40,228.3,82.1,64.4
167,Kegalle,Intermediate,Maha,5.95,0.104,9.8,53.8,1.71,100.2,26.9,120,60,60,253.9,128.8,99.3
168,Polonnaruwa,Dry,Maha,6.49,0.124,5.1,,,133.3,27.5,120,60,40,248.6,127.4,69.8
169,Polonnaruwa,Dry,Yala,6.94,0.065,8,49.4,1.48,36.6,,130,60,60,263.1,130.4,99.3
170,Ratnapura,Wet,Yala,4.51,0.096,6.1,61.6,1.93,365.2,25.4,130,60,40,286.5,129.6,70.2
171,Hambantota,Dry,Maha,6.92,0.107,5.3,116.9,1.23,249.1,27.7,120,60,20,267.8,130.8,35.7
172,Kandy,Wet,Maha,5.8,0.149,6.4,133.8,2.99,393.1,26,120,60,20,242,123.4,31.2
173,Kegalle,Intermediate,Maha,6.15,0.051,15.8,73.1,1.23,246.6,29.4,130,20,40,283.1,43.6,62.2
174,Jaffna,Dry,Maha,7.41,0.065,9.9,113.9,0.86,163.8,30.9,130,60,20,271,125.4,31.5
175,Badulla,Intermediate,Maha,6.55,0.097,17.9,80.7,1.75,169.8,28,130,20,40,288.8,41.4,65.5
176,Anuradhapura,Dry,Maha,6.17,0.1,12.5,109.1,1.22,255.7,31.2,120,40,20,248.2,81.3,31.5
177,Nuwara Eliya,Wet,Maha,5.57,0.082,11.4,147.4,2.96,,24.1,130,40,20,290.7,90.4,35.2
178,Nuwara Eliya,Wet,Maha,4.87,0.051,10.3,89.6,2.77,237.7,,130,40,40,277.8,86.1,61.9
179,Puttalam,Dry,Yala,7.3,0.076,10.3,44.3,1.21,50.4,29.1,130,40,60,301.1,88.7,97.2
180,Hambantota,Dry,Yala,5.81,0.083,11,50,0.67,95.7,28.2,130,40,60,267.2,90,95.3
181,Batticaloa,Dry,Yala,7.03,0.196,9.1,87.6,1.1,58.7,27.7,100,60,40,212.2,133.9,71
182,Kurunegala,Intermediate,Yala,5.88,0.052,18.9,98.9,1.24,181.5,28.9,130,20,40,266.2,43.3,68.4
183,Vavuniya,Dry,Yala,7.01,,12.2,,1.48,99.9,31.3,130,40,20,300.6,85.5,35.4
184,Vavuniya,Dry,Maha,6.4,0.102,6.5,78.5,1.04,270.6,28.4,120,60,40,275.7,128,71.4
185,Jaffna,Dry,Maha,5.66,0.109,13.6,108.7,0.51,133.1,,120,40,20,251.4,88.8,33.3
186,Puttalam,Dry,Yala,6.36,0.145,7.6,64.2,1.36,34.4,30.7,120,60,40,267.2,130.3,64
187,Kegalle,Intermediate,Maha,6.39,0.096,8.3,106,1.18,243,29.2,130,60,20,296,137.2,31.8
188,Galle,Wet,Maha,5.32,0.17,8.1,,1.72,360.7,25.4,100,60,40,219.2,137.7,63.9
189,Anuradhapura,Dry,Yala,6.91,0.053,7.8,115.1,0.62,69.7,29.3,130,60,20,283.9,124,34.3
190,Gampaha,Wet,Maha,5.28,0.087,5.4,70.4,2.53,388.9,25.5,130,60,40,271.7,123.3,62.1
191,Kilinochchi,Dry,Yala,5.54,0.091,13.5,82.9,1.31,34.3,31.5,130,40,40,265.4,88.7,62.2
192,Matara,Wet,Yala,4.53,0.151,11.2,114.6,2.38,338.6,24.3,100,40,20,230.4,84.4,33.8
193,Galle,Wet,Yala,4.75,0.196,11.4,95.3,2.74,314.9,25.2,100,40,40,230.5,80.7,68.1
194,Kilinochchi,Dry,Maha,6.95,0.085,12.7,116.6,1.29,168.3,31.1,130,40,20,288.2,92.1,34.1
195,Kurunegala,Intermediate,Maha,5.59,0.06,8.1,124.8,1.21,113.5,29.8,130,60,20,275.8,125.1,32.7
196,Hambantota,Dry,Yala,7.21,0.071,,76.9,1.06,98.6,27.4,130,60,40,276.2,138.8,69.8
197,Trincomalee,Dry,Yala,7.11,0.18,,47.1,1.46,30.3,29.9,100,40,60,224.8,89.8,100.5
198,Matale,Intermediate,Maha,6.28,0.152,7.2,86.3,1.94,116.3,28.2,100,60,40,230.3,135.5,62.8
199,Nuwara Eliya,Wet,Maha,5.35,0.188,7.9,131.7,2.02,394.5,25.4,100,60,20,230,124.6,34.8
200,Batticaloa,Dry,Yala,5.66,0.175,11.7,44.4,1.35,86.7,31.8,100,40,60,226.5,83.5,106.8
201,Ratnapura,Wet,Maha,5.87,0.119,,144.4,,376.3,24.2,120,60,20,266.5,130.8,31.1
202,Badulla,Intermediate,Yala,6.53,0.173,16.3,114.4,1.27,237.2,26.3,100,20,20,203.8,41.4,32.8
203,Galle,Wet,Yala,5.39,0.167,7.4,102.4,2.56,300,24.6,100,60,20,206.4,126.6,33.2
204,Gampaha,Wet,Yala,5.34,0.18,10.8,126.4,1.7,361,24.1,100,40,20,230.4,84.7,31.5
205,Nuwara Eliya,Wet,Yala,5.27,0.099,5.6,134.5,2.07,268.7,24,130,60,20,287.1,123.7,35.1
206,Kurunegala,Intermediate,Yala,,0.131,18.3,57.1,1.45,191.9,29.4,120,20,60,241.7,41.6,96.8
207,Puttalam,Dry,Maha,6.11,0.152,7.7,76.5,0.99,232.6,,100,60,40,204.4,136,69.5
208,Matale,Intermediate,Maha,6.63,0.185,8,107.9,1.05,197.5,27.6,100,60,20,222.7,123.9,34.2
209,Polonnaruwa,Dry,Yala,6.97,0.056,6.5,100.5,1.43,20.6,30.5,130,60,20,261.6,121.2,33.8
210,Galle,Wet,Yala,4.55,0.192,10.4,96.5,2.29,235,24,100,40,40,206.3,88.7,63.6
211,Polonnaruwa,Dry,Yala,5.99,0.105,8.7,81.7,,30.8,29.4,120,60,40,262.8,139.7,63.9
212,Monaragala,Intermediate,Maha,6.8,0.159,12,93.9,1.56,185,27.1,100,40,40,223.7,84.8,62.2
213,Kegalle,Intermediate,Maha,5.37,0.145,8.1,109.6,1.28,163.7,29.7,120,60,20,266.8,122.9,32
214,Galle,Wet,Maha,4.55,0.07,7.7,,1.7,238.4,26.6,130,60,20,270.9,131.8,32.5
215,Kegalle,Intermediate,Yala,6.7,0.126,11.9,57.6,1.36,200.2,29.6,120,40,60,269.2,92.3,105
216,Kegalle,Intermediate,Maha,,0.078,8.2,118.5,1.05,129.1,28.5,130,60,20,271.5,136,32.6
217,Vavuniya,Dry,Yala,6.2,0.177,10.4,82.2,1.12,88.9,31.3,100,40,40,211.7,88.6,69.2
218,Kandy,Wet,Maha,5.55,0.177,6.9,146,2.09,323.7,24.2,100,60,20,225.4,126.8,33
219,Kilinochchi,Dry,Maha,6.04,0.066,13.9,55.9,1.48,281.5,28.4,130,40,60,288.9,87.5,104.3
220,Nuwara Eliya,Wet,Yala,4.78,0.088,6,111.5,2.41,319.3,26.3,130,60,20,297.4,122.4,35.7
221,Mannar,Dry,Yala,7.14,0.168,7.8,109.2,1.47,47.9,28.5,100,60,20,222.5,133.9,32
222,Anuradhapura,Dry,Yala,5.77,0.078,8.9,50.4,0.56,67.1,27.4,130,60,60,285.5,134.8,105.4
223,Galle,Wet,Maha,4.95,0.169,5.7,149.5,,309.1,,100,60,20,204.1,139.5,33.9
224,Mannar,Dry,Yala,5.97,0.077,7.1,70.3,0.84,77.2,30.7,130,60,40,277,125.7,69.9
225,Ratnapura,Wet,Maha,5.22,0.093,10.2,117.2,2.53,373.6,,130,40,20,272.6,80.7,34.1
226,Jaffna,Dry,Maha,6.24,0.103,13.6,92,1.06,158.9,30.5,120,40,40,250.9,87.6,65.9
